doid_code	doid_name	lead_snp	reported_symbols	mlog_pvalue	date	pubmed_id	upstream_gene	downstream_gene	containing_genes	reported_genes	cases	controls	samples	high_confidence	lead_chrom	lower_coord	upper_coord	locus
DOID:0050156	idiopathic pulmonary fibrosis	rs2736100	TERT	7.522878745280337	2008-10-01	18835860			7015	7015	159.0	934.0	1093.0	1	chr5	1330577	1340194	0
DOID:0050156	idiopathic pulmonary fibrosis	rs35705950	MUC5AC	49.698970004336026	2013-04-17	24429156	4586	727897		4586	542.0	542.0	1084.0	1	chr11	1100884	1197797	1
DOID:0050156	idiopathic pulmonary fibrosis	rs35705950	TOLLIP	49.698970004336026	2013-04-17	24429156	4586	727897		54472	542.0	542.0	1084.0	1	chr11	1100884	1197797	1
DOID:0050156	idiopathic pulmonary fibrosis	rs35705950	MUC5B	49.698970004336026	2013-04-17	24429156	4586	727897		727897	542.0	542.0	1084.0	1	chr11	1100884	1197797	1
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	BRSK2	12.0	2013-04-17	24429156			54472	9024	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	TOLLIP	12.0	2013-04-17	24429156			54472	54472	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	MUC5B	12.0	2013-04-17	24429156			54472	727897	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	BRSK2	12.0	2013-04-17	24429156			54472	9024	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	TOLLIP	12.0	2013-04-17	24429156			54472	54472	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs5743894	MUC5B	12.0	2013-04-17	24429156			54472	727897	542.0	542.0	1084.0	1	chr11	1201874	1371156	2
DOID:0050156	idiopathic pulmonary fibrosis	rs111521887	BRSK2	12.0	2013-04-17	24429156				9024	542.0	542.0	1084.0	1	chr11	1201874	1348193	2
DOID:0050156	idiopathic pulmonary fibrosis	rs111521887	TOLLIP	12.0	2013-04-17	24429156				54472	542.0	542.0	1084.0	1	chr11	1201874	1348193	2
